Size,Instance,Epsilon,Algorithm,Objective,TimeDev,IntentDev,Runtime
40,8,1e-06,SA,1785.5170654064173,15,15,2.9236879348754883
40,8,1e-06,Adaptive SA,1757.3725286604022,14,14,2.2841765880584717
40,9,1e-06,Greedy,1796.2009554367041,13,13,0.00393223762512207
40,9,1e-06,SA,1849.4636529675367,15,15,2.1622941493988037
40,9,1e-06,Adaptive SA,1796.2009554367041,13,13,2.0252795219421387
40,9,1e-06,SA,1847.9061136928556,15,15,2.132913112640381
40,9,1e-06,Adaptive SA,1796.2009554367041,13,13,2.0086705684661865
40,9,1e-06,SA,1838.9210067743254,15,15,3.5929741859436035
40,9,1e-06,Adaptive SA,1796.2009554367041,13,13,2.105586290359497
40,9,1e-06,SA,1847.832624390858,15,15,2.33888840675354
40,9,1e-06,Adaptive SA,1796.2009554367041,13,13,2.042619466781616
40,9,1e-06,SA,1825.3767575049205,14,14,2.4036715030670166
40,9,1e-06,Adaptive SA,1796.2009554367041,13,13,2.657227039337158
40,9,1e-06,SA,1854.7341303890023,16,16,2.7046961784362793
40,9,1e-06,Adaptive SA,1796.2009554367041,13,13,2.0664844512939453
40,9,1e-06,SA,1850.0476303241787,15,15,2.1999361515045166
40,9,1e-06,Adaptive SA,1825.1663539350116,15,15,2.019473075866699
40,9,1e-06,SA,1806.9093007413944,15,15,2.149115800857544
40,9,1e-06,Adaptive SA,1796.2009554367041,13,13,3.0182225704193115
40,9,1e-06,SA,1860.843653325019,15,15,2.477778911590576
40,9,1e-06,Adaptive SA,1796.2009554367041,13,13,2.038130283355713
40,9,1e-06,SA,1831.237878046837,15,15,2.1435258388519287
40,9,1e-06,Adaptive SA,1796.2009554367041,13,13,2.035586357116699
40,10,1e-06,Greedy,1985.9984587360614,15,15,0.003747224807739258
40,10,1e-06,SA,1985.9984587360614,15,15,2.6399693489074707
40,10,1e-06,Adaptive SA,1985.9984587360614,15,15,3.101576566696167
40,10,1e-06,SA,1985.9984587360614,15,15,2.154067277908325
40,10,1e-06,Adaptive SA,1985.9984587360614,15,15,2.0634605884552
40,10,1e-06,SA,1985.9984587360614,15,15,2.215404987335205
40,10,1e-06,Adaptive SA,1985.9984587360614,15,15,2.050464391708374
40,10,1e-06,SA,1985.9984587360614,15,15,3.019914150238037
40,10,1e-06,Adaptive SA,1985.9984587360614,15,15,2.387302875518799
40,10,1e-06,SA,1985.9984587360614,15,15,2.1698429584503174
40,10,1e-06,Adaptive SA,1985.9984587360614,15,15,2.0780935287475586
40,10,1e-06,SA,1985.9984587360614,15,15,2.1280758380889893
40,10,1e-06,Adaptive SA,1985.9984587360614,15,15,2.2872087955474854
40,10,1e-06,SA,1985.9984587360614,15,15,3.3444783687591553
40,10,1e-06,Adaptive SA,1985.9984587360614,15,15,2.0748350620269775
40,10,1e-06,SA,1985.9984587360614,15,15,2.2649521827697754
40,10,1e-06,Adaptive SA,1985.9984587360614,15,15,2.0739400386810303
40,10,1e-06,SA,1985.9984587360614,15,15,2.5430915355682373
40,10,1e-06,Adaptive SA,1985.9984587360614,15,15,2.9662299156188965
40,10,1e-06,SA,1985.9984587360614,15,15,2.4866628646850586
40,10,1e-06,Adaptive SA,1985.9984587360614,15,15,2.203498125076294
50,1,1e-06,Greedy,2439.3260546534834,19,19,0.0038785934448242188
50,1,1e-06,SA,2439.3260546534834,19,19,2.4910287857055664
50,1,1e-06,Adaptive SA,2439.3260546534834,19,19,4.088037490844727
50,1,1e-06,SA,2439.3260546534834,19,19,3.615950345993042
50,1,1e-06,Adaptive SA,2439.3260546534834,19,19,2.505927324295044
50,1,1e-06,SA,2454.0665892534116,20,20,2.626309394836426
50,1,1e-06,Adaptive SA,2439.3260546534834,19,19,2.920044183731079
50,1,1e-06,SA,2475.652835703184,21,21,3.0113627910614014
50,1,1e-06,Adaptive SA,2439.3260546534834,19,19,2.8357436656951904
50,1,1e-06,SA,2465.7053543929605,21,21,2.4654791355133057
50,1,1e-06,Adaptive SA,2439.3260546534834,19,19,2.4422433376312256
50,1,1e-06,SA,2477.7522859756905,21,21,2.486654281616211
50,1,1e-06,Adaptive SA,2439.3260546534834,19,19,2.9081473350524902
50,1,1e-06,SA,2455.3665950538034,20,20,3.0304317474365234
50,1,1e-06,Adaptive SA,2439.3260546534834,19,19,2.4687693119049072
50,1,1e-06,SA,2453.6031391596807,20,20,2.9082889556884766
50,1,1e-06,Adaptive SA,2439.3260546534834,19,19,2.4880173206329346
50,1,1e-06,SA,2439.3260546534834,19,19,3.760223865509033
50,1,1e-06,Adaptive SA,2465.4866645569773,20,20,2.4574167728424072
50,1,1e-06,SA,2450.4427461888326,21,21,2.893702507019043
50,1,1e-06,Adaptive SA,2439.3260546534834,19,19,2.4230098724365234
50,2,1e-06,Greedy,2208.9467911285037,19,19,0.004088401794433594
50,2,1e-06,SA,2234.3106177473337,21,21,2.856872320175171
50,2,1e-06,Adaptive SA,2208.9467911285033,19,19,3.3366897106170654
50,2,1e-06,SA,2235.466008463422,20,20,2.9842143058776855
50,2,1e-06,Adaptive SA,2208.9467911285033,19,19,2.316342830657959
50,2,1e-06,SA,2223.0603721179536,20,20,2.404343843460083
50,2,1e-06,Adaptive SA,2208.9467911285033,19,19,2.7152862548828125
50,2,1e-06,SA,2237.6611681996214,20,20,3.796112060546875
50,2,1e-06,Adaptive SA,2208.9467911285033,19,19,2.495056629180908
50,2,1e-06,SA,2271.3105303671177,21,21,2.507672071456909
50,2,1e-06,Adaptive SA,2208.9467911285033,19,19,2.3297228813171387
50,2,1e-06,SA,2249.5025440573695,21,21,3.230287790298462
50,2,1e-06,Adaptive SA,2208.9467911285033,19,19,2.76281476020813
50,2,1e-06,SA,2246.017541507449,21,21,2.4723405838012695
